rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction,year,source
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,22,5,179152.7518589,42534.86061031267,182042.21724143266,64640.823931495244,5006.160974139398,1777.6226581161202,1802.3607823866103,429.69400063513274,1802.3607823866103,429.69400063513274,231.37136668456347,47.95775360242868,100,0,100,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,11,5,138016.35628190002,48246.65750071172,137127.18256421693,79247.30550156589,3770.997520515966,2179.3009012930615,1422.2041768337226,415.7700367588756,1422.2041768337226,415.7700367588756,220.00813428576447,94.1783857734042,100,0,100,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,46,6,411926.57336970017,63533.491621929184,149582.12816976692,60665.5043159085,4113.50852466859,1668.3013686874842,1539.579929620922,425.19872654702175,1539.579929620922,425.19872654702175,184.74959155451066,51.023847185642616,100,0,100,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,294,37,2219679.057253399,139405.07705899372,61641.94512738833,14027.55129934662,1695.1534910031792,385.757660732032,1154.6347911920934,167.34615466929455,1145.0559217604837,168.6570571291702,144.11604459249722,20.41899306859967,100,0,97.02931665238398,2.9479937116996235,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,9,5,63105.793783500005,21973.152378985847,63036.212968093016,26751.010053027443,1733.495856622558,735.6527764582544,1315.4493493043922,425.74547569157727,1141.3127499260659,490.656613125573,238.36490728057097,110.36693475013396,100,0,54.86492710958508,23.927642416387954,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,7,2,92350.8786576,40875.609316280716,28606.3800491937,1390.6106275986704,786.6754513528268,38.241792258963414,786.6754513528268,38.241792258963414,786.6754513528268,38.241792258963414,94.40105416233921,4.58901507107561,100,0,100,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,17,2,117166.3044449,34699.16759662688,6557.697625711218,983.4261039981403,180.33668470705848,27.044217859948873,180.33668470705848,27.044217859948873,180.33668470705848,27.044217859948873,31.52946619753664,11.503082588979773,100,0,100,0,2022,SIPP
R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,97,16,821443.1532370002,96613.96985288053,62829.63743314743,10392.709560848416,1727.815029411554,285.79951292333135,1419.1331096655283,188.55622694586995,1419.1331096655283,188.55622694586995,207.11247567878905,37.12645363656174,100,0,100,0,2022,SIPP
