source,year,rate_scenario_id,rate_scenario,annual_interest_rate,ethnicity,race,household_group,n_obs,n_positive_student_debt,weighted_population,SE: weighted population,mean_student_debt,SE: mean student debt,Estimated annual interest paid,SE: estimated annual interest paid,Max potential deduction,SE: max potential deduction,Allowable deduction after MAGI phaseout,SE: allowable deduction after MAGI phaseout,Estimated tax savings,SE: estimated tax savings,% of borrowers with any allowable deduction,SE: % of borrowers with any allowable deduction,% of borrowers with full deduction,SE: % of borrowers with full deduction
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Married household,170.2,45.8,3912526.8034603577,220267.45801510793,36443.63821372816,4221.029006560889,1002.2000508775244,116.07829768042444,863.2115262643359,71.20197269926733,855.8542856663049,72.5107247215077,135.24712240532386,12.935860353097599,100,0,97.46256873069444,1.2818870041281465
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Married household,128,51.6,3109746.151702547,177730.41974737318,41499.454086946695,3854.8827892769673,1141.234987391034,106.00927670511655,1004.6541043612149,81.26259798059323,1000.7957139293992,81.3697665132262,148.31279025478736,14.972733568620107,100,0,95.58350615534022,2.0283736996313104
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Married household,142,42.2,2950273.927152712,235818.16423675595,48717.45682565145,7612.554619893555,1339.7300627054146,209.34525204707282,1040.356466834643,102.07724272979232,950.1186593691195,94.52994258685247,161.188949268738,19.246205753760524,100,0,83.77357790865562,5.1073114141466815
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Married household,1289.2,262.2,29172779.889231026,558531.7005299835,34897.87644341205,1982.049065971454,959.6916021938313,54.50634931421496,835.2859047514056,36.54019958498841,813.7297107571477,35.13249582496291,138.35265543453718,6.874992909768767,100,0,95.06945753795348,0.8805185772840809
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Hispanic,Hispanic,Unmarried household,134.6,35.6,3340054.5862227557,201477.8432201831,39979.79584319976,6137.172446133874,1099.4443856879934,168.77224226868142,906.4289475934357,105.84847749004125,895.8275414512971,102.75300375720157,171.08127766994167,23.576162042866454,100,0,93.16818498706189,2.909949236540666
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Black alone,Unmarried household,206.8,73.4,5083074.44067212,303656.9784696998,35498.80676231502,2238.3642529698122,976.217185963663,61.555016956669824,886.4251769438315,48.48543273285448,850.8529850904574,47.41321007755765,144.88041883690627,9.750204455812796,100,0,90.4626972933478,2.5266084364381247
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,Other,Unmarried household,92,23.4,2115422.810732573,176974.83744718652,26555.668242828615,6286.629854152234,730.2808766777868,172.88232098918647,643.8021026669411,137.9961041749063,627.2713843641724,138.25094500940574,114.36971035801467,29.13676261104973,100,0,93.9241785366135,2.377216911656109
SCF,2016,R275,Estimated interest at 2.75% annual rate,0.0275,Non-Hispanic,White alone,Unmarried household,786.8,158.2,19304150.172312226,519571.8395378658,35916.81861351781,2782.9382850235966,987.7125118717399,76.53080283814903,804.9336322947815,42.07880331377045,775.6478958710337,41.689677980809606,132.72365138405192,7.496980839361232,100,0,92.19440867319068,1.6382649996641794
